ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
39341-4913-1.zip,202202151023,長岡郡本山町井窪,1,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,2-1,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,2-2,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,2-3,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,2-4,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,2-5,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,2-6,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,2-7,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,2-8,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,2-9,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,2-10,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,2-11,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,2-12,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,2-13,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,2-14,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,2-15,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,2-16,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,2-17,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,2-18,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,2-19,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,2-20,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,2-21,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,3,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,4,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,5,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,道-1,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,水-1,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,6-1,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,6-2,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,7,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,8,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,9-1,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,9-2,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,10,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,11,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,12-1,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,12-2,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,13,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,14-1,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,14-2,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,15-1,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,15-2,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,16-1,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,16-2,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,17-1,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,17-2,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,17-3,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,17-4,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,17-5,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,17-6,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,17-7,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,17-8,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,17-9,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,17-10,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,17-11,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,17-12,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,17-13,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,17-14,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,17-15,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,17-16,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,17-17,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,17-18,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,18-1,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,18-2,,
39341-4913-1.zip,202202151023,長岡郡本山町井窪,18-3,,
